epoch,client_0_accuracy,client_0_loss,client_1_accuracy,client_1_loss,client_2_accuracy,client_2_loss,client_3_accuracy,client_3_loss,avg_accuracy,avg_loss
1,0.1421,2.2937931186676024,0.1738,2.292459476470947,0.1984,2.293764047241211,0.1688,2.295347858428955,0.170775,2.293841125202179
2,0.1978,2.281236792373657,0.2045,2.280100951385498,0.2064,2.282918336486816,0.1962,2.2845002975463866,0.20122500000000001,2.2821890944480896
3,0.2062,2.264272727203369,0.2443,2.264499993133545,0.209,2.269416217803955,0.2104,2.2699952766418456,0.217475,2.2670460536956787
4,0.2486,2.241976723480225,0.2961,2.2432318531036377,0.2475,2.2516042121887208,0.2743,2.250332558822632,0.266625,2.246786336898804
5,0.3282,2.211626633453369,0.3491,2.2152036376953124,0.3141,2.2287027515411375,0.3275,2.2224135299682617,0.32972500000000005,2.21948663816452
6,0.3918,2.1706109275817873,0.4094,2.177485584259033,0.3584,2.199696381378174,0.3708,2.1830254035949705,0.3826,2.182704574203491
7,0.45,2.1187105262756347,0.4769,2.12928053817749,0.4131,2.1626308948516844,0.4533,2.1314948108673097,0.44832500000000003,2.1355291925430295
8,0.4962,2.054183117675781,0.5387,2.0708149463653562,0.4694,2.1137944385528566,0.5101,2.066308508682251,0.5036,2.076275252819061
9,0.538,1.9751104263305663,0.5886,1.9985051094055175,0.5331,2.050736915206909,0.5538,1.9853947412490844,0.553375,2.002436798048019
10,0.5774,1.8817699872970581,0.6206,1.9074730068206787,0.5787,1.97276335811615,0.5886,1.88872562084198,0.591325,1.9126829932689668
11,0.6053,1.7750384601593017,0.6432,1.800138787841797,0.6028,1.8821721418380737,0.6185,1.774705989265442,0.61745,1.8080138447761536
12,0.6286,1.6575002033233643,0.6671,1.6811061288833617,0.625,1.7806718173980713,0.6528,1.648968002319336,0.643375,1.6920615379810333
13,0.6589,1.535446881866455,0.6838,1.555480121421814,0.6493,1.6669674530029297,0.6646,1.518463020515442,0.66415,1.5690893692016603
14,0.6833,1.4136234100341798,0.7016,1.4268949277877807,0.668,1.5479434005737305,0.6887,1.3869284761428833,0.6854,1.4438475536346436
15,0.7236,1.2955888511657714,0.7359,1.299818440437317,0.699,1.4288001142501832,0.7152,1.2622444561004638,0.718425,1.3216129654884339
16,0.7428,1.1882415657997132,0.7502,1.182996626663208,0.7186,1.311995670890808,0.7388,1.149104461669922,0.7375999999999999,1.208084581255913
17,0.7672,1.0901291171073915,0.782,1.0759132955551147,0.7524,1.1978061882019042,0.7591,1.0485172013282775,0.7651749999999999,1.103091450548172
18,0.7667,1.0155739323616029,0.7708,0.9866916655540466,0.7636,1.0981142031669617,0.7713,0.9699773097038269,0.7681,1.0175892776966096
19,0.7922,0.9278686477661133,0.8045,0.900260960483551,0.7706,1.0021996861457825,0.7817,0.8910828731536865,0.78725,0.9303530418872833
20,0.7986,0.8681135171890259,0.8254,0.8412036410331726,0.7954,0.9256501953125,0.8095,0.8335896712303161,0.807225,0.8671392561912536
21,0.7982,0.8176594091415406,0.8006,0.7863545828819275,0.7777,0.8670248830795289,0.784,0.7889922525405884,0.790125,0.8150077819108963
22,0.8197,0.7676694233894348,0.8282,0.7407222767353058,0.8153,0.8091175992012024,0.819,0.7421903774261475,0.82055,0.7649249191880226
23,0.8126,0.7505739494323731,0.8316,0.7196827481269836,0.8237,0.7825943091392517,0.8224,0.7260403206825257,0.8225750000000001,0.7447228318452835
24,0.8312,0.7002533720970154,0.8264,0.6888230522155762,0.8345,0.7322969108581543,0.8283,0.6854687352180481,0.8301,0.7017105175971984
25,0.8288,0.6743032470226288,0.827,0.6535681216239929,0.8196,0.7040878000736237,0.813,0.6693488506793975,0.8221,0.6753270048499107
26,0.8306,0.6461672354221344,0.8375,0.6249899082183837,0.8308,0.6718775929927826,0.83,0.6329326764583587,0.832225,0.643991853272915
27,0.8259,0.6367334816455841,0.8347,0.614086056137085,0.8421,0.6446763153553009,0.8379,0.6168358439922332,0.83515,0.6280829242825507
28,0.8482,0.5931421167373657,0.8564,0.5755868650436401,0.8482,0.6090279630661011,0.8473,0.5820282947540283,0.850025,0.5899463099002837
29,0.8508,0.5804355635643005,0.8529,0.567252679347992,0.8499,0.5942332458019257,0.8498,0.5729624980449677,0.85085,0.5787209966897965
30,0.8484,0.5760686518192292,0.8534,0.5565547002792358,0.8401,0.5872497827529907,0.8472,0.5626956568241119,0.847275,0.5706421979188918
31,0.8608,0.5423919393062592,0.8667,0.5270777774810791,0.8561,0.5562989418029786,0.8594,0.5356017249584198,0.86075,0.5403425958871841
32,0.8438,0.565004087638855,0.8477,0.5559282980442047,0.8459,0.5789032408714294,0.8341,0.5762092837333679,0.8428749999999999,0.5690112275719643
33,0.8534,0.5292493127822876,0.8638,0.514763142824173,0.8454,0.5485328258991241,0.8514,0.5305961205005646,0.8535,0.5307853505015373
34,0.8625,0.5153916647434235,0.8648,0.5073873696327209,0.8613,0.526884279537201,0.8655,0.5163886034011841,0.863525,0.5165129793286324
35,0.8447,0.5292168316364289,0.8623,0.49686644325256346,0.8534,0.5167973679065704,0.8586,0.5065836711406708,0.85475,0.5123660784840585
36,0.8651,0.4984928071975708,0.8637,0.49646032962799075,0.8544,0.5320799005031586,0.8485,0.5251671420097351,0.857925,0.5130500448346138
37,0.8685,0.48141456055641174,0.8738,0.4725923478603363,0.8669,0.48931280846595765,0.8669,0.4843980948448181,0.8690250000000002,0.48192945293188094
38,0.8671,0.4729260383605957,0.8692,0.4675348021507263,0.8488,0.49910814819335936,0.8619,0.4819118200778961,0.8617499999999999,0.4803702021956443
39,0.8668,0.4730647542476654,0.8721,0.4655377452373505,0.8641,0.48430668239593505,0.864,0.4818518856048584,0.86675,0.47619026687145233
40,0.8208,0.5393927406311035,0.8343,0.5314623592853546,0.8245,0.5542639989376068,0.8202,0.549032229232788,0.8249500000000001,0.5435378320217132
41,0.8718,0.46116437091827395,0.8745,0.4603566026687622,0.868,0.48420768723487856,0.8695,0.4697047012805939,0.87095,0.4688583405256272
42,0.8649,0.4732089828968048,0.8716,0.46512627744674684,0.8714,0.4719859066724777,0.8687,0.4671790413379669,0.86915,0.46937505208849906
43,0.8518,0.4867112606525421,0.8532,0.4819153775691986,0.8485,0.49786191945075986,0.8569,0.4829203739643097,0.8526,0.4873522329092026
44,0.8634,0.4544560294628143,0.8643,0.4572975793838501,0.8533,0.47967650971412656,0.8599,0.4673188637256622,0.860225,0.46468724557161334
45,0.8769,0.4363858655452728,0.882,0.4255538164138794,0.876,0.446089239692688,0.8778,0.4416468713760376,0.878175,0.4374189482569695
46,0.8653,0.444248775100708,0.8701,0.43664243268966674,0.8725,0.4430735240459442,0.8744,0.4377643028259277,0.870575,0.4404322586655617
47,0.8676,0.4388041538238525,0.8671,0.444611909532547,0.8615,0.46119520707130435,0.8703,0.44120191087722777,0.866625,0.4464532953262329
48,0.8567,0.45700408334732057,0.8412,0.48647306656837463,0.852,0.4697910545349121,0.8486,0.47711538887023924,0.8496250000000001,0.47259589833021165
49,0.8693,0.43723031797409057,0.8726,0.43020160710811617,0.8665,0.44308082196712495,0.8701,0.4422555232524872,0.869625,0.4381920675754547
50,0.833,0.5028919534683227,0.8484,0.4713818395137787,0.8533,0.47722487955093384,0.8379,0.5043043747901916,0.84315,0.48895076183080677
51,0.8465,0.4671870051860809,0.8366,0.47950268759727477,0.8382,0.4832606080055237,0.8414,0.48111924414634705,0.8406750000000001,0.4777673862338066
52,0.8729,0.4274767372369766,0.8795,0.4182646527528763,0.8757,0.42775464038848876,0.8703,0.4381039866924286,0.8745999999999999,0.4279000042676926
53,0.8756,0.42242588787078855,0.8901,0.3959947373390198,0.8898,0.4030626045465469,0.8834,0.4114936628818512,0.884725,0.40824422315955156
54,0.8784,0.41721043128967283,0.8835,0.40746182684898374,0.8853,0.41144492931365967,0.8803,0.4158774011135101,0.881875,0.4129986471414566
55,0.8748,0.42990037336349485,0.8807,0.42010194675922397,0.8824,0.4179112721681595,0.8725,0.4376092193841934,0.8776,0.4263807029187679
56,0.8894,0.393844439125061,0.8892,0.3899008455514908,0.8862,0.3980158654689789,0.8898,0.3995345986843109,0.88865,0.3953239372074604
57,0.8766,0.4267285778045654,0.8671,0.443057368183136,0.871,0.4387187594413757,0.8692,0.4490985044956207,0.870975,0.4394008024811744
58,0.8739,0.431482097530365,0.8687,0.45014270992279054,0.864,0.46534358229637146,0.8612,0.46319724864959716,0.8669499999999999,0.45254140959978106
59,0.8922,0.3841199087142944,0.8906,0.38718340275287627,0.8914,0.39068733723163607,0.8902,0.39412693321704867,0.8911,0.38902939547896387
60,0.8802,0.4069217648983002,0.8898,0.3875303341388702,0.8854,0.3940164763212204,0.8796,0.4099196200370789,0.88375,0.39959704884886743
61,0.8823,0.3988894850730896,0.8913,0.38092274298667905,0.8887,0.38528391599655154,0.8815,0.4011801768302917,0.88595,0.39156908022165293
62,0.892,0.3814046637773514,0.8935,0.37835905458927155,0.8892,0.3877972770214081,0.889,0.38951245775222776,0.890925,0.3842683632850647
63,0.8702,0.41105848398208616,0.8695,0.4156228664875031,0.8662,0.42291939854621885,0.8583,0.43895427927970887,0.86605,0.42213875707387927
64,0.8748,0.40120052394866945,0.87,0.42348589441776274,0.8471,0.4612102464199066,0.8623,0.43735678746700285,0.8635499999999999,0.4308133630633354
65,0.8873,0.3865927594661713,0.8883,0.386065073466301,0.8866,0.39442689027786254,0.8865,0.3912594621658325,0.8871749999999999,0.3895860463440418
66,0.8853,0.38117476325035093,0.8933,0.37505302019119263,0.885,0.3879912351608276,0.8842,0.39464499390125274,0.8869499999999999,0.38471600312590604
67,0.8714,0.41067318325042723,0.8733,0.4109797607421875,0.8724,0.42836835713386534,0.8613,0.44820995001792907,0.8695999999999999,0.4245578127861023
68,0.8734,0.4180996865749359,0.8708,0.42585604600906374,0.8547,0.4647988749027252,0.867,0.4389961007118225,0.866475,0.4369376770496368
69,0.8937,0.3692892714738846,0.8958,0.3675089563846588,0.8923,0.3722841493844986,0.89,0.3807956570625305,0.89295,0.37246950857639316
70,0.8826,0.39641980838775637,0.8858,0.38640653257369995,0.8804,0.39443047943115234,0.8689,0.42493044762611387,0.879425,0.40054681700468064
71,0.8985,0.3539562213897705,0.9003,0.3513253488063812,0.8961,0.3598066118478775,0.8962,0.36677051572799685,0.897775,0.3579646744430065
72,0.8846,0.39339792852401734,0.893,0.37522931487560274,0.8944,0.3738554342985153,0.8857,0.39733178255558016,0.889425,0.3849536150634289
73,0.8853,0.381775203371048,0.8817,0.40102028603553774,0.88,0.40784792416095733,0.8744,0.42111504540443423,0.88035,0.40293961474299433
74,0.8777,0.40572169551849363,0.8813,0.39408536891937257,0.872,0.42253781962394715,0.8719,0.4227514929771423,0.875725,0.41127409425973893
75,0.8919,0.36471897006034854,0.8912,0.365977551984787,0.8944,0.36388293566703794,0.8929,0.3687571810722351,0.8926000000000001,0.3658341596961021
76,0.8849,0.3777703464984894,0.8918,0.3630529546022415,0.8934,0.3605678223848343,0.8877,0.37627765607833863,0.88945,0.369417194890976
77,0.8926,0.36832409591674803,0.8891,0.3796729062318802,0.8838,0.38758970110416413,0.8826,0.393628058719635,0.887025,0.38230369049310686
78,0.8902,0.37413542881011963,0.8819,0.38997184081077574,0.8896,0.37288610892295837,0.8861,0.3882654938220978,0.8869499999999999,0.38131471809148787
79,0.889,0.36780781619548797,0.8922,0.36070738914012906,0.8932,0.35328077907562255,0.8914,0.36428194806575775,0.8914500000000001,0.3615194831192493
80,0.8996,0.3489317346572876,0.8973,0.3530572954416275,0.8979,0.3457862569570541,0.8954,0.36347294342517855,0.89755,0.352812057620287
81,0.8974,0.34827478892803193,0.8975,0.3513532374382019,0.8933,0.361094572019577,0.8991,0.35191160209178923,0.896825,0.3531585501194
82,0.8929,0.35874811635017395,0.8925,0.36740372233390806,0.8945,0.35895752770900724,0.8799,0.3992536737203598,0.88995,0.3710907600283623
83,0.8922,0.3553777181148529,0.8975,0.353573139333725,0.897,0.3471702720403671,0.8938,0.3598131936311722,0.8951250000000001,0.3539835807800293
84,0.9027,0.3389121250629425,0.9024,0.3410206022024155,0.9013,0.3436121638298035,0.9024,0.3501952209949493,0.9022,0.3434350280225277
85,0.8949,0.3495704471111298,0.8984,0.3525611183166504,0.8918,0.3585216592073441,0.8989,0.3512619440555573,0.8959999999999999,0.3529787921726704
86,0.8967,0.345401801943779,0.8972,0.34638475284576414,0.8924,0.3556313931941986,0.8953,0.3558751243829727,0.8954,0.35082326809167863
87,0.8984,0.3441567926168442,0.898,0.34917497947216036,0.8876,0.37011804332733156,0.8979,0.35743780779838563,0.895475,0.3552219058036804
88,0.8697,0.40834228372573855,0.879,0.3885998103618622,0.8881,0.3704780396938324,0.8796,0.389816018819809,0.8791,0.38930903815031054
89,0.8922,0.3544343103170395,0.8872,0.3844512366771698,0.8905,0.3679203085780144,0.8918,0.3671138415336609,0.8904249999999999,0.36847992427647114
90,0.9063,0.32083013598918914,0.9074,0.3261589793801308,0.8986,0.34336236975193024,0.9037,0.33503236472606657,0.9039999999999999,0.3313459624618292
91,0.9018,0.3350368704557419,0.9034,0.33759651205539704,0.9022,0.3336678943157196,0.8991,0.34938174827098845,0.9016250000000001,0.3389207562744617
92,0.8599,0.44610887613296507,0.8586,0.45287144956588743,0.8579,0.45536918458938597,0.8571,0.45830007133483885,0.858375,0.4531623954057693
93,0.8998,0.34547406990528107,0.8974,0.3450235796928406,0.8961,0.34891520972251894,0.8923,0.3618913300514221,0.8964000000000001,0.3503260473430157
94,0.8906,0.3577495062112808,0.8838,0.37579984979629516,0.8787,0.38229551658630373,0.891,0.3633998898267746,0.8860250000000001,0.36981119060516354
95,0.892,0.3626411281347275,0.8952,0.35591478757858275,0.8942,0.3565597655773163,0.8939,0.3605420211315155,0.893825,0.3589144256055355
96,0.8931,0.35001969501972197,0.9029,0.33179949576854706,0.9049,0.32626476757526396,0.9017,0.3402514907360077,0.90065,0.3370838622748852
97,0.9072,0.32706861248016356,0.9057,0.3222948944091797,0.9023,0.32713533010482787,0.9049,0.33003978793621064,0.905025,0.32663465623259547
98,0.9106,0.30995692291259763,0.9092,0.31531118953228,0.9053,0.3165431529760361,0.9114,0.31771844465732574,0.909125,0.31488242751955986
99,0.9036,0.33131847460269925,0.9022,0.33013804304599764,0.9017,0.33104154813289643,0.8966,0.3471903771400452,0.901025,0.3349221107304096
100,0.8944,0.3524072119951248,0.8945,0.35928052291870116,0.8917,0.3584439878463745,0.8867,0.37816579139232637,0.8918250000000001,0.36207437853813174
